"ID_DISCENTE,""ANO_NASCIMENTO"",""PERIODO_INGRESSO"",""TIPO_INGRESSO"",""PERIODO_LETIVO"",""CAMPUS"",""CD_INEP"",""CURSO"",""CARGA_HORARIA_CURSO"",""TURNO"",""MODALIDADE"",""COTAS"",""ESCOLA_PUBLICA"",""BLS_ASSIST"",""DS_TP_SIT_ACAD"",""MONITOR_PROGRAD"",""SEXO"",""COR"",""NACIONALIDADE"",""CIDADE_NAT"",""UF_NAT"",""DEFIC"",""MOB_ACAD"",""TIPO_MOB_ACAD"",""IES_DEST"",""TIPO_MOB_ACAD_INTERNAC"",""PAIS_DEST"""
"233388,1990,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13573,CIÃŠNCIAS CONTABEIS,3000,TARDE,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"234021,1988,""2011.2"",VESTIBULAR,""2020.1"",AGRESTE,118098,QUÃMICA - LICENCIATURA - CAA,3210,NOITE,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,M,PARDA,BRA,CACHOEIRINHA,PE,NÃƒO,NÃƒO,,,,"
"234135,1992,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13581,SERVIÃ‡O SOCIAL,3100,MANHA,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"234303,1993,""2011.2"",VESTIBULAR,""2020.1"",AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,NÃƒO DECLARADO,BRA,BEZERROS,PE,NÃƒO,NÃƒO,,,,"
"234961,1993,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13579,HISTÃ“RIA,2520,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,SIM,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"235263,1991,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13588,ENGENHARIA QUÃMICA,3885,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"235510,1994,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13600,FARMACIA,3465,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,INTEGRALIZADO,NÃƒO,F,BRANCA,BRA,TIMBAUBA,PE,NÃƒO,NÃƒO,,,,"
"235573,1992,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13573,CIÃŠNCIAS CONTABEIS,3000,TARDE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,PESQUEIRA,PE,NÃƒO,NÃƒO,,,,"
"235903,1993,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,21710,ENGENHARIA DE PRODUÃ‡ÃƒO,3270,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"235975,1991,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13588,ENGENHARIA QUÃMICA,3885,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"236075,1993,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,44947,LETRAS PORTUGUÃŠS - LICENCIATURA,3150,TARDE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PRETA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"236097,1992,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13616,ENGENHARIA ELÃ‰TRICA,3660,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,NAZARE DA MATA,PE,NÃƒO,NÃƒO,,,,"
"236226,1982,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,21847,CIÃŠNCIAS SOCIAIS - LICENCIATURA,2310,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PRETA,BRA,OLINDA,PE,NÃƒO,NÃƒO,,,,"
"237464,1989,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,44947,LETRAS PORTUGUÃŠS - LICENCIATURA,3150,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,BRANCA,BRA,CAMARAGIBE,PE,NÃƒO,NÃƒO,,,,"
"237941,1976,""2011.1"",VESTIBULAR,""2020.1"",AGRESTE,101086,CIÃŠNCIAS ECONÃ”MICAS - CAA,3000,NOITE,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,CARUARU,PE,NÃƒO,NÃƒO,,,,"
"238600,1992,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13616,ENGENHARIA ELÃ‰TRICA,3660,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"238621,1994,""2011.2"",VESTIBULAR,""2020.1"",AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,NÃƒO DECLARADO,BRA,AFOGADOS DA INGAZEIRA,PE,NÃƒO,NÃƒO,,,,"
"238798,1991,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,117382,ENGENHARIA DE ALIMENTOS,3855,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"239119,1992,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13587,ENGENHARIA DE MINAS,3900,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,INTEGRALIZADO,NÃƒO,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"239242,1990,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,44992,CIÃŠNCIAS BIOLÃ“GICAS - BACHARELADO,2835,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"239368,1981,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13583,ENGENHARIA CARTOGRÃFICA E DE AGRIMENSURA,3870,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,PAUDALHO,PE,NÃƒO,NÃƒO,,,,"
"239513,1992,""2011.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13574,CIÃŠNCIAS ECONÃ”MICAS,3000,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"241052,1990,""2011.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13594,ESTATÃSTICA,2580,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,PAULISTA,PE,NÃƒO,NÃƒO,,,,"
"241754,1991,""2012.1"",TRANSFERENCIA INTERNA,""2020.2"",REITOR JOAQUIM AMAZONAS,13584,ENGENHARIA CIVIL,3900,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,INTEGRALIZADO,NÃƒO,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"204281,1991,""2012.1"",TRANSFERENCIA INTERNA,""2020.2"",REITOR JOAQUIM AMAZONAS,13584,ENGENHARIA CIVIL,3900,INTEGRAL,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,INTEGRALIZADO,NÃƒO,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"241776,1985,""2012.1"",TRANSFERENCIA INTERNA,""2020.1"",REITOR JOAQUIM AMAZONAS,13619,MATEMÃTICA - LICENCIATURA,2370,NOITE,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"178513,1985,""2012.1"",TRANSFERENCIA INTERNA,""2020.1"",REITOR JOAQUIM AMAZONAS,13619,MATEMÃTICA - LICENCIATURA,2370,NOITE,PRESENCIAL,AC,NÃƒO INFORMADO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"248600,1988,""2012.2"",VESTIBULAR,""2020.1"",AGRESTE,101127,DESIGN - CAA,3210,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,QUIPAPA,PE,NÃƒO,NÃƒO,,,,"
"248658,1993,""2012.1"",VESTIBULAR,""2020.1"",VITORIA,101149,NUTRIÃ‡ÃƒO - CAV,3315,MANHA,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,GAMELEIRA,PE,NÃƒO,NÃƒO,,,,"
"248840,1992,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13574,CIÃŠNCIAS ECONÃ”MICAS,3000,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,INTEGRALIZADO,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"248887,1993,""2012.2"",VESTIBULAR,""2020.1"",AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,INTEGRALIZADO,NÃƒO,M,BRANCA,BRA,PETROLINA,PE,NÃƒO,NÃƒO,,,,"
"249186,1994,""2012.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13572,ADMINISTRAÃ‡ÃƒO,3030,MANHA,PRESENCIAL,AC,NÃƒO,NÃƒO,INTEGRALIZADO,NÃƒO,M,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"249336,1990,""2012.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,1136142,SISTEMAS DE INFORMAÃ‡ÃƒO,3000,TARDE/NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,BRANCA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"249430,1994,""2012.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13600,FARMACIA,3465,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,AMARELA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"249610,1993,""2012.2"",VESTIBULAR,""2020.1"",AGRESTE,118100,MATEMÃTICA - LICENCIATURA - CAA,3000,NOITE,PRESENCIAL,AC,NÃƒO,SIM,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,ALTINHO,PE,NÃƒO,NÃƒO,,,,"
"249662,1994,""2012.2"",VESTIBULAR,""2020.1"",AGRESTE,118100,MATEMÃTICA - LICENCIATURA - CAA,3000,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,SIM,F,NÃƒO DECLARADO,BRA,AGRESTINA,PE,NÃƒO,NÃƒO,,,,"
"249768,1993,""2012.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,21847,CIÃŠNCIAS SOCIAIS - LICENCIATURA,2310,NOITE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"249830,1994,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13574,CIÃŠNCIAS ECONÃ”MICAS,3000,MANHA,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,NÃƒO DECLARADO,BRA,CAMARAGIBE,PE,NÃƒO,NÃƒO,,,,"
"250068,1994,""2012.2"",VESTIBULAR,""2020.1"",AGRESTE,118098,QUÃMICA - LICENCIATURA - CAA,3210,NOITE,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,PARDA,BRA,SAO CAITANO,PE,NÃƒO,NÃƒO,,,,"
"250201,1994,""2012.1"",VESTIBULAR,""2020.1"",AGRESTE,118092,ENGENHARIA DE PRODUÃ‡ÃƒO - CAA,3765,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,SIM,M,BRANCA,BRA,BELO JARDIM,PE,NÃƒO,NÃƒO,,,,"
"61575,1968,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13573,CIÃŠNCIAS CONTABEIS,3000,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"250316,1968,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13573,CIÃŠNCIAS CONTABEIS,3000,NOITE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"250598,1989,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13574,CIÃŠNCIAS ECONÃ”MICAS,3000,MANHA,PRESENCIAL,AC,NÃƒO,NÃƒO,INTEGRALIZADO,NÃƒO,F,BRANCA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"250641,1994,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13625,TURISMO,3000,TARDE,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,BEZERROS,PE,NÃƒO,NÃƒO,,,,"
"251258,1993,""2012.2"",VESTIBULAR,""2020.1"",AGRESTE,101086,CIÃŠNCIAS ECONÃ”MICAS - CAA,3000,NOITE,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,PARDA,BRA,TAQUARITINGA DO NORTE,PE,NÃƒO,NÃƒO,,,,"
"251332,1981,""2012.2"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13573,CIÃŠNCIAS CONTABEIS,3000,NOITE,PRESENCIAL,AC,SIM,NÃƒO,INTEGRALIZADO,NÃƒO,F,PARDA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"251396,1989,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13598,EDUCAÃ‡ÃƒO FÃSICA,3255,INTEGRAL,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PRETA,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"251417,1993,""2012.1"",VESTIBULAR,""2020.1"",AGRESTE,101082,ADMINISTRAÃ‡ÃƒO -CAA,3000,MANHA,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,PARDA,BRA,CUPIRA,PE,NÃƒO,NÃƒO,,,,"
"251450,1989,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,52249,GEOGRAFIA - BACHARELADO,2370,TARDE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"170051,1989,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,52249,GEOGRAFIA - BACHARELADO,2370,TARDE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
"251531,1993,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13574,CIÃŠNCIAS ECONÃ”MICAS,3000,MANHA,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,BRANCA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"251587,1993,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,313579,HISTÃ“RIA - BACHARELADO,2430,TARDE,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,PARDA,BRA,JABOATAO DOS GUARARAPES,PE,NÃƒO,NÃƒO,,,,"
"251782,1972,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,13580,PEDAGOGIA,3210,MANHA,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,F,NÃƒO DECLARADO,BRA,ABREU E LIMA,PE,NÃƒO,NÃƒO,,,,"
"251872,1994,""2012.1"",VESTIBULAR,""2020.1"",AGRESTE,101082,ADMINISTRAÃ‡ÃƒO -CAA,3000,MANHA,PRESENCIAL,AC,NÃƒO,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,CARUARU,PE,NÃƒO,NÃƒO,,,,"
"251908,1994,""2012.1"",VESTIBULAR,""2020.1"",REITOR JOAQUIM AMAZONAS,44992,CIÃŠNCIAS BIOLÃ“GICAS - BACHARELADO,2835,INTEGRAL,PRESENCIAL,AC,SIM,NÃƒO,MATRÃCULA RECUSADA,NÃƒO,M,NÃƒO DECLARADO,BRA,RECIFE,PE,NÃƒO,NÃƒO,,,,"
